img_path,gall_mm2,prop_herb,leaf_area_mm2,month,leaf,tree,exp.round
images/segmented_processed/2022_May_isolate/tree1_20220517_leaf1.png,20.86732535,1.60E-04,2505.322766,May,1,1,1
images/segmented_processed/2022_May_isolate/tree1_20220517_leaf2.png,58.566145,2.58E-04,2768.80411,May,2,1,1
images/segmented_processed/2022_May_isolate/tree1_20220517_leaf3.png,26.27412031,0.006606212,3082.785314,May,3,1,1
images/segmented_processed/2022_May_isolate/tree10_20220517_leaf1.png,27.95511921,4.10E-04,1944.892428,May,1,10,1
images/segmented_processed/2022_May_isolate/tree10_20220517_leaf2.png,0,0.003339158,2290.077846,May,2,10,1
images/segmented_processed/2022_May_isolate/tree10_20220517_leaf3.png,0,1.62E-04,1105.181507,May,3,10,1
images/segmented_processed/2022_May_isolate/tree11_20220517_leaf1.png,3.195331595,0.001123756,2312.38782,May,1,11,1
images/segmented_processed/2022_May_isolate/tree11_20220517_leaf2.png,0,0.007993048,2918.298317,May,2,11,1
images/segmented_processed/2022_May_isolate/tree12_20220517_leaf1.png,0,2.83E-04,2174.553078,May,1,12,1
images/segmented_processed/2022_May_isolate/tree12_20220517_leaf2.png,0,9.53E-06,2068.526492,May,2,12,1
images/segmented_processed/2022_May_isolate/tree13_20220517_leaf1.png,0,0.004145702,2565.589623,May,1,13,1
images/segmented_processed/2022_May_isolate/tree13_20220517_leaf2.png,0,5.30E-05,2131.601585,May,2,13,1
images/segmented_processed/2022_May_isolate/tree13_20220517_leaf3.png,0,0.004210998,2205.346899,May,3,13,1
images/segmented_processed/2022_May_isolate/tree14_20220517_leaf1.png,0,0.003821382,2006.718421,May,1,14,1
images/segmented_processed/2022_May_isolate/tree14_20220517_leaf2.png,3.792104125,1.66E-04,2088.241491,May,2,14,1
images/segmented_processed/2022_May_isolate/tree15_20220517_leaf1.png,80.80443426,1.34E-04,1817.308554,May,1,15,1
images/segmented_processed/2022_May_isolate/tree15_20220517_leaf2.png,13.45336752,0.055815973,1630.577892,May,2,15,1
images/segmented_processed/2022_May_isolate/tree16_20220517_leaf1.png,0,0.004348461,1657.154879,May,1,16,1
images/segmented_processed/2022_May_isolate/tree16_20220517_leaf3.png,0,4.78E-05,1950.664814,May,3,16,1
images/segmented_processed/2022_May_isolate/tree17_20220517_leaf1.png,10.52506027,0.027057039,1405.695006,May,1,17,1
images/segmented_processed/2022_May_isolate/tree17_20220517_leaf2.png,0,0.015340677,2351.835738,May,2,17,1
images/segmented_processed/2022_May_isolate/tree18_20220517_leaf1.png,0,0.003562056,3363.80066,May,1,18,1
images/segmented_processed/2022_May_isolate/tree18_20220517_leaf2.png,0,0.003711755,2931.683584,May,2,18,1
images/segmented_processed/2022_May_isolate/tree18_20220517_leaf3.png,6.342276228,0.00368556,2937.932671,May,3,18,1
images/segmented_processed/2022_May_isolate/tree19_20220517_leaf1.png,0,0.123391753,1181.462657,May,1,19,1
images/segmented_processed/2022_May_isolate/tree19_20220517_leaf2.png,0,4.32E-04,2045.058816,May,2,19,1
images/segmented_processed/2022_May_isolate/tree2_20220517_leaf1.png,0,0.005917231,2513.76181,May,1,2,1
images/segmented_processed/2022_May_isolate/tree2_20220517_leaf2.png,0,5.92E-05,2027.171769,May,2,2,1
images/segmented_processed/2022_May_isolate/tree2_20220517_leaf3.png,0,0.018981302,2313.721149,May,3,2,1
images/segmented_processed/2022_May_isolate/tree20_20220517_leaf1.png,0,0.003947832,2136.732395,May,1,20,1
images/segmented_processed/2022_May_isolate/tree20_20220517_leaf2.png,0,1.43E-04,3111.292403,May,2,20,1
images/segmented_processed/2022_May_isolate/tree20_20220517_leaf3.png,0,0.004250802,1548.090667,May,3,20,1
images/segmented_processed/2022_May_isolate/tree21_P20220517_leaf1.png,0,0,2160.191111,May,1,21,1
images/segmented_processed/2022_May_isolate/tree21_P20220517_leaf2.png,0,0.052084398,1805.308588,May,2,21,1
images/segmented_processed/2022_May_isolate/tree21_P20220517_leaf3.png,0,1.61E-04,2699.34373,May,3,21,1
images/segmented_processed/2022_May_isolate/tree22_20220517_leaf2.png,0,8.42E-05,1511.585392,May,2,22,1
images/segmented_processed/2022_May_isolate/tree22_20220517_leaf3.png,0,5.95E-05,2019.530213,May,3,22,1
images/segmented_processed/2022_May_isolate/tree23_20220517_leaf1.png,0,2.32E-04,1856.790523,May,1,23,1
images/segmented_processed/2022_May_isolate/tree23_20220517_leaf2.png,0,0.004202741,1569.631826,May,2,23,1
images/segmented_processed/2022_May_isolate/tree23_20220517_leaf3.png,0,2.28E-04,1620.083298,May,3,23,1
images/segmented_processed/2022_May_isolate/tree24_20220517_leaf1.png,0,0.003325976,2981.303518,May,1,24,1
images/segmented_processed/2022_May_isolate/tree24_20220517_leaf2.png,0,1.14E-04,4130.502824,May,2,24,1
images/segmented_processed/2022_May_isolate/tree24_20220517_leaf3.png,0,0.004026868,2297.731947,May,3,24,1
images/segmented_processed/2022_May_isolate/tree25_20220517_leaf1.png,4.451600495,0.003269335,3610.712158,May,1,25,1
images/segmented_processed/2022_May_isolate/tree25_20220517_leaf2.png,0,0.004016482,2275.56355,May,2,25,1
images/segmented_processed/2022_May_isolate/tree25_20220517_leaf3.png,56.20952074,2.70E-04,1728.312387,May,3,25,1
images/segmented_processed/2022_May_isolate/tree26_20220517_leaf1.png,0,4.10E-04,2759.995891,May,1,26,1
images/segmented_processed/2022_May_isolate/tree26_20220517_leaf2.png,0,2.67E-04,3177.858526,May,2,26,1
images/segmented_processed/2022_May_isolate/tree27_20220517_leaf1.png,0,1.53E-04,2249.355737,May,1,27,1
images/segmented_processed/2022_May_isolate/tree27_20220517_leaf2.png,0,0.005804748,1223.503758,May,2,27,1
images/segmented_processed/2022_May_isolate/tree27_20220517_leaf3.png,0,0.004052753,2599.22573,May,3,27,1
images/segmented_processed/2022_May_isolate/tree28_20220517_leaf1.png,0,0.003877634,1956.347593,May,1,28,1
images/segmented_processed/2022_May_isolate/tree28_20220517_leaf2.png,0,1.88E-04,2603.471238,May,2,28,1
images/segmented_processed/2022_May_isolate/tree28_20220517_leaf3.png,0,2.58E-04,1519.468883,May,3,28,1
images/segmented_processed/2022_May_isolate/tree29_20220517_leaf1.png,0,0.004288049,2224.647921,May,1,29,1
images/segmented_processed/2022_May_isolate/tree29_20220517_leaf2.png,0,0.0041444,1943.715012,May,2,29,1
images/segmented_processed/2022_May_isolate/tree3_20220517_leaf1.png,0,0.002857961,1790.880313,May,1,3,1
images/segmented_processed/2022_May_isolate/tree3_20220517_leaf2.png,0,0.003981782,2202.678448,May,2,3,1
images/segmented_processed/2022_May_isolate/tree3_20220517_leaf3.png,0,0.001883272,2055.442299,May,3,3,1
images/segmented_processed/2022_May_isolate/tree30_20220517_leaf1.png,37.56261931,1.15E-04,2779.94924,May,1,30,1
images/segmented_processed/2022_May_isolate/tree30_20220517_leaf2.png,0,6.07E-05,3456.597892,May,2,30,1
images/segmented_processed/2022_May_isolate/tree32_20220517_leaf1.png,0,0.017119569,1715.00418,May,1,32,1
images/segmented_processed/2022_May_isolate/tree32_20220517_leaf3.png,0,2.27E-05,1261.025159,May,3,32,1
images/segmented_processed/2022_May_isolate/tree33_20220517_leaf1.png,0,3.45E-04,2264.776841,May,1,33,1
images/segmented_processed/2022_May_isolate/tree33_20220517_leaf2.png,0,0.026542925,2019.851001,May,2,33,1
images/segmented_processed/2022_May_isolate/tree33_20220517_leaf3.png,0,3.93E-05,2647.736347,May,3,33,1
images/segmented_processed/2022_May_isolate/tree34_20220517_leaf1.png,9.611084321,1.05E-04,2010.8797,May,1,34,1
images/segmented_processed/2022_May_isolate/tree34_20220517_leaf2.png,6.206075891,0.003419521,2292.8592,May,2,34,1
images/segmented_processed/2022_May_isolate/tree34_20220517_leaf3.png,2.856622862,1.01E-04,1737.979027,May,3,34,1
images/segmented_processed/2022_May_isolate/tree35_20220517_leaf1.png,0,0.004197212,2298.412948,May,1,35,1
images/segmented_processed/2022_May_isolate/tree36_20220517_leaf1.png,0,0.002761228,2732.400986,May,1,36,1
images/segmented_processed/2022_May_isolate/tree36_20220517_leaf2.png,6.019696482,3.55E-05,2270.291163,May,2,36,1
images/segmented_processed/2022_May_isolate/tree36_20220517_leaf3.png,10.4569601,2.33E-04,2447.509307,May,3,36,1
images/segmented_processed/2022_May_isolate/tree37_20220517_leaf1.png,0,1.60E-05,3573.255273,May,1,37,1
images/segmented_processed/2022_May_isolate/tree37_20220517_leaf3.png,0,1.78E-04,3069.070298,May,3,37,1
images/segmented_processed/2022_May_isolate/tree38_20220517_leaf1.png,0,0.020222482,869.6248161,May,1,38,1
images/segmented_processed/2022_May_isolate/tree38_20220517_leaf2.png,0,4.36E-04,2426.405423,May,2,38,1
images/segmented_processed/2022_May_isolate/tree38_20220517_leaf3.png,0,3.14E-05,2336.357287,May,3,38,1
images/segmented_processed/2022_May_isolate/tree39_20220517_leaf1.png,30.45152802,8.67E-06,1446.171596,May,1,39,1
images/segmented_processed/2022_May_isolate/tree39_20220517_leaf2.png,17.70245962,4.21E-04,3238.100293,May,2,39,1
images/segmented_processed/2022_May_isolate/tree39_20220517_leaf3.png,2.166660627,0.004479467,1767.518371,May,3,39,1
images/segmented_processed/2022_May_isolate/tree4_20220517_leaf1.png,0,7.34E-05,1878.742075,May,1,4,1
images/segmented_processed/2022_May_isolate/tree4_20220517_leaf2.png,0,5.76E-06,2176.21078,May,2,4,1
images/segmented_processed/2022_May_isolate/tree4_20220517_leaf3.png,0,0.005664847,2001.585819,May,3,4,1
images/segmented_processed/2022_May_isolate/tree40_20220517_leaf1.png,3.887085939,0.003660862,2571.512545,May,1,40,1
