tree,leaf,treatment,exp.round,field.date,lab.date,field.obs,lab.mite.obs,dom,eggs,RS,LB,nymph,OB,LL,LC,CLB,SP,MISC,BY,PR,eriophyid.pres,fungal.obs,fungal.count,fungal.notes,midrib.tape,leaf.tear,mite.notes,field.notes,gall_mm2,prop_herb,leaf_area_mm2,longitude,latitude,elevation,B
1,1,treatment,1,16-May-22,17-May-22,CG,MW,13,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,20.86732535,0,2505.322766,-84.47251,42.717283,279,0
1,2,treatment,1,16-May-22,17-May-22,CG,MW,8,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,58.566145,0,2768.80411,-84.47251,42.717283,279,0
1,3,treatment,1,16-May-22,17-May-22,CG,MW,15,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,26.27412031,0.006606212,3082.785314,-84.47251,42.717283,279,0
2,1,control,1,16-May-22,17-May-22,MO,MW,8,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Tear in leaf taped upper left.,0,1,NA,NA,0,0.005917231,2513.76181,-84.477702,42.71657,0,0
2,2,control,1,16-May-22,17-May-22,MO,MW,16,0,2,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2027.171769,-84.477702,42.71657,0,0
2,3,control,1,16-May-22,17-May-22,MO,MW,15,1,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0.018981302,2313.721149,-84.477702,42.71657,0,0
3,1,treatment,1,16-May-22,17-May-22,MO,MW,15,0,1,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,1790.880313,-84.47722,42.71611,275,0
3,2,treatment,1,16-May-22,17-May-22,MO,MW,13,0,1,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2202.678448,-84.47722,42.71611,275,0
3,3,treatment,1,16-May-22,17-May-22,MO,MW,17,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2055.442299,-84.47722,42.71611,275,0
4,1,control,1,16-May-22,17-May-22,MO,MW,21,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,1878.742075,-84.476679,42.717582,277,0
4,2,control,1,16-May-22,17-May-22,MO,MW,20,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,2176.21078,-84.476679,42.717582,277,0
4,3,control,1,16-May-22,17-May-22,MO,MW,18,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0.005664847,2001.585819,-84.476679,42.717582,277,0
5,1,treatment,1,16-May-22,17-May-22,AM,MW,13,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0,3190.763507,-84.47205,42.71452,270,0
5,2,treatment,1,16-May-22,17-May-22,AM,MW,10,0,0,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,0,0.013643891,1865.679387,-84.47205,42.71452,270,0
5,3,treatment,1,16-May-22,17-May-22,AM,MW,15,0,1,0,0,0,0,0,0,0,0,0,0,0,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes. Sampled upper right.,0,0,NA,NA,0,0.021229262,2896.767911,-84.47205,42.71452,270,0
6,1,control,1,16-May-22,17-May-22,AM,MW,10,0,0,0,0,0,0,0,0,0,0,0,0,1,AM,0,changed all of round one fungal count values to 0 because original fungal counts were actually just trichomes.,0,0,NA,NA,4.560919187,0,2342.536481,-84.47339,42.71581,276,0
